rewards,mi-tet,expr,grad_norm,entropy,first_batch_actions,first_batch_returns
13.0,0.22352188962529862,0.029696555253062557,0.16067016124725342,0.6363670825958252,1.0,1.6006268
14.0,0.1793610649175017,0.0952642639899152,0.23725628852844238,0.6630944609642029,1.0,1.3348337
13.0,0.10495625320743152,0.026067883605546287,0.1257663071155548,0.6715673804283142,0.0,1.0687745
12.0,0.1546732991804829,0.013730841237127638,0.13617846369743347,0.6745688915252686,1.0,0.802449
25.0,0.09737820212506332,0.08166891071235277,0.15817824006080627,0.6750574707984924,1.0,0.53585684
44.0,0.08018588236465174,0.09113986468744689,0.11703205108642578,0.6680692434310913,0.0,0.26899788
12.0,0.09840934557105285,0.04162993916671969,0.15560275316238403,0.6709596514701843,1.0,0.00187176
16.0,0.11538203880151254,0.04963530350806223,0.1403295248746872,0.6676225662231445,1.0,-0.26552173
16.0,0.1385426045499294,0.08038882565126151,0.19467754662036896,0.6599745154380798,1.0,-0.5331829
10.0,0.11900355614866953,0.045587382422503424,0.14935599267482758,0.6430056691169739,1.0,-0.801112
19.0,0.0809891201391233,0.031249996919363036,0.23422132432460785,0.6300691366195679,0.0,-1.0693092
12.0,0.11594833287640327,0.013214887792937119,0.14748609066009521,0.6409361958503723,1.0,-1.337775
11.0,0.08219709601788683,0.04169961967793374,0.1722826361656189,0.638063907623291,1.0,-1.6065096
12.0,0.05205137153105355,0.014568769472491066,0.27575668692588806,0.6234577298164368,1.0,1.609226
18.0,0.04516957167480662,0.0026862008928351688,0.178897887468338,0.6216493844985962,0.0,1.3626428
25.0,0.03000235823700148,0.003176149707567125,0.12973298132419586,0.6284394264221191,1.0,1.1158128
22.0,0.04428216696325915,0.04334413563461925,0.11464519798755646,0.621429443359375,1.0,0.86873573
11.0,0.023881894230790124,0.04045146317754618,0.08336684852838516,0.610971987247467,1.0,0.62141126
35.0,0.03418205726535373,0.0036465139991914116,0.11049218475818634,0.5983505845069885,1.0,0.3738393
29.0,0.02596408489864821,0.012973521251801297,0.11258120089769363,0.5989322066307068,1.0,0.12601948
14.0,0.021492110050126634,0.0008235248243862172,0.11422666907310486,0.5824313759803772,0.0,-0.1220484
32.0,0.010907205110589402,0.004673041370312191,0.07479781657457352,0.5857375264167786,0.0,-0.3703646
41.0,0.016467006237707693,0.0047742232107355976,0.07132403552532196,0.5805854797363281,1.0,-0.6189293
27.0,0.022581441325741025,0.0024710854545978303,0.07150575518608093,0.5788254737854004,1.0,-0.86774296
13.0,0.01583492539636211,0.0020611802270294253,0.1467377245426178,0.5833005905151367,0.0,-1.1168056
27.0,0.014875414316784408,0.0015424872961196463,0.12641631066799164,0.5759603977203369,1.0,-1.3661175
31.0,0.01875798993052946,0.00022056815555946625,0.1454140692949295,0.5756705403327942,0.0,-1.615679
40.0,0.014090386547962908,0.001469895903403057,0.16283473372459412,0.5740475058555603,1.0,1.6006268
15.0,0.011068975118598168,0.0006252684012234196,0.20225058495998383,0.5704202055931091,1.0,1.3348337
23.0,0.010657822820587803,0.00034872093975965736,0.15558451414108276,0.5589629411697388,1.0,1.0687745
10.0,0.007019223258605933,0.00023941557226584516,0.1341007649898529,0.5621928572654724,1.0,0.802449
10.0,0.010679108399070714,0.00014787659670306027,0.2059519737958908,0.5560891628265381,0.0,0.53585684
24.0,0.014125135578423986,2.250403216056923e-05,0.06477070599794388,0.5461829900741577,0.0,0.26899788
14.0,,,,,1.0,0.00187176
12.0,,,,,1.0,-0.26552173
31.0,,,,,1.0,-0.5331829
32.0,,,,,0.0,-0.801112
36.0,,,,,1.0,-1.0693092
16.0,,,,,0.0,-1.337775
20.0,,,,,1.0,-1.6065096
19.0,,,,,1.0,1.5905988
16.0,,,,,1.0,1.3023629
12.0,,,,,0.0,1.0138385
26.0,,,,,0.0,0.72502536
22.0,,,,,1.0,0.43592304
16.0,,,,,1.0,0.14653134
18.0,,,,,1.0,-0.14315003
13.0,,,,,1.0,-0.43312138
11.0,,,,,1.0,-0.723383
56.0,,,,,1.0,-1.0139351
10.0,,,,,1.0,-1.3047781
49.0,,,,,0.0,-1.5959123
27.0,,,,,1.0,1.6577238
32.0,,,,,0.0,1.520638
28.0,,,,,0.0,1.383415
56.0,,,,,0.0,1.2460546
46.0,,,,,1.0,1.1085567
11.0,,,,,0.0,0.9709213
35.0,,,,,1.0,0.83314794
13.0,,,,,0.0,0.6952368
34.0,,,,,1.0,0.55718756
15.0,,,,,1.0,0.41900012
38.0,,,,,0.0,0.28067434
17.0,,,,,1.0,0.14221013
17.0,,,,,1.0,0.00360731
12.0,,,,,1.0,-0.13513425
53.0,,,,,0.0,-0.2740147
20.0,,,,,1.0,-0.41303417
37.0,,,,,1.0,-0.5521928
24.0,,,,,1.0,-0.6914907
12.0,,,,,1.0,-0.8309281
64.0,,,,,1.0,-0.970505
61.0,,,,,0.0,-1.1102216
