rewards,mi-tet,expr,grad_norm,entropy,first_batch_actions,first_batch_returns
10.0,0.17336456326681038,0.0458895676507475,0.13404834270477295,0.6029096245765686,0.0,1.5646092
11.0,0.16086555409220704,0.0279749564704096,0.12747372686862946,0.6241759657859802,0.0,1.2178454
11.0,0.09483124544264587,0.008541195589772435,0.24188390374183655,0.6549254059791565,0.0,0.87073469
14.0,0.14581114559169706,0.05429657224929109,0.15592780709266663,0.6759730577468872,0.0,0.52327645
17.0,0.12034451497093279,0.03695719798577865,0.08746003359556198,0.673054575920105,0.0,0.17547041
16.0,0.12670758280583083,0.024717120356472156,0.14205223321914673,0.6775424480438232,0.0,-0.17268378
15.0,0.06465034608699316,0.046612528039194134,0.14863170683383942,0.6735842823982239,0.0,-0.52118647
26.0,0.09785619248619692,0.03477364538005932,0.0641637071967125,0.6657499670982361,1.0,-0.87003803
15.0,0.06159919576708095,0.014927527826017374,0.13246820867061615,0.6616230607032776,0.0,-1.2192388
11.0,0.10623245991237695,0.01544253952942521,0.10497484356164932,0.667079746723175,0.0,-1.5687891
29.0,0.06799780728552918,0.014521090847457119,0.14299486577510834,0.6617684364318848,0.0,1.5787663
12.0,0.048984133589415,0.010600363012377463,0.11450717598199844,0.6469866633415222,0.0,1.2639602
11.0,0.023475335061609925,0.006104501291343962,0.13975396752357483,0.6434968113899231,1.0,0.94883919
9.0,0.021715504166790467,0.003258421419609113,0.06596716493368149,0.6354193091392517,0.0,0.63340259
9.0,0.03084065898358368,0.0036707647669700135,0.05966617912054062,0.6211283802986145,0.0,0.31765032
16.0,0.039423293522905745,0.0006564943225328814,0.06368423253297806,0.6167504191398621,0.0,0.001581926
44.0,0.03677531369523823,0.00045091096174728094,0.11163220554590225,0.6032459139823914,0.0,-0.31480283
11.0,0.022582973982586907,0.0019505342234779636,0.23322749137878418,0.5944018959999084,0.0,-0.6315043
10.0,0.025101814233757125,0.023894357915307647,0.21371637284755707,0.6060548424720764,0.0,-0.94852281
11.0,0.02066896913024685,0.0012083807676202128,0.0980335921049118,0.5994023084640503,0.0,-1.2658587
31.0,0.018742304916013808,0.00010104292670881499,0.035105329006910324,0.5802107453346252,0.0,-1.5835121
21.0,0.019196640585464664,0.00039182758859246977,0.07846483588218689,0.5798068046569824,0.0,1.5787663
19.0,0.019859267192068764,0.00018994630820291227,0.09102180600166321,0.5670477747917175,0.0,1.2639602
32.0,0.016441415831513595,0.0005780747477892296,0.09530860930681229,0.5751233100891113,0.0,0.94883919
18.0,0.021819056516670265,0.0007053737226621722,0.053514208644628525,0.5776930451393127,0.0,0.63340259
28.0,0.011593212880465664,0.00013577195804065616,0.04404553771018982,0.561363160610199,1.0,0.31765032
22.0,0.014762719925458967,6.185947687267678e-05,0.07070782780647278,0.5724467635154724,0.0,0.001581926
29.0,0.012683777416523156,0.00017497640375750982,0.05653095617890358,0.5506079792976379,0.0,-0.31480283
16.0,0.011824493984313733,0.0001806702047309818,0.039961300790309906,0.5527579188346863,0.0,-0.6315043
50.0,0.015556479146114022,0.000881469806424327,0.06099389120936394,0.5499420166015625,1.0,-0.94852281
18.0,0.01449907832436459,0.0006492619111033672,0.0462634414434433,0.5390444993972778,0.0,-1.2658587
15.0,0.01182694796717243,0.0002927329949538102,0.10373622179031372,0.5350454449653625,0.0,-1.5835121
32.0,0.008561626699712832,0.001043148034764652,0.04393239691853523,0.5460243225097656,1.0,1.609226
25.0,0.011458801347652425,0.00019902541811640448,0.05169215798377991,0.5389301776885986,0.0,1.3626428
9.0,0.009011660495708007,0.00010787611744515941,0.1843888759613037,0.5454185009002686,0.0,1.1158128
30.0,0.010642397831676753,0.0001390392072168151,0.03616311028599739,0.5349456667900085,0.0,0.86873573
17.0,0.007478024086259083,0.0001226727756953514,0.17543095350265503,0.5547729730606079,1.0,0.62141126
10.0,0.008393512156265714,9.717003481059186e-05,0.07932980358600616,0.5489082336425781,0.0,0.37383929
19.0,0.01304372657632058,0.00013385843688616133,0.11715639382600784,0.5523592829704285,0.0,0.12601948
10.0,0.010949809544582578,8.250800234180502e-05,0.2372950166463852,0.5505124926567078,0.0,-0.1220484
12.0,,,,,1.0,-0.37036461
10.0,,,,,0.0,-0.61892933
50.0,,,,,0.0,-0.86774296
20.0,,,,,0.0,-1.1168056
34.0,,,,,0.0,-1.3661175
24.0,,,,,0.0,-1.615679
11.0,,,,,0.0,1.6289105
19.0,,,,,1.0,1.4263142
13.0,,,,,0.0,1.2235152
10.0,,,,,0.0,1.0205132
14.0,,,,,0.0,0.81730789
14.0,,,,,1.0,0.61389917
14.0,,,,,1.0,0.4102869
55.0,,,,,0.0,0.20647082
39.0,,,,,1.0,0.0024507006
13.0,,,,,0.0,-0.20177364
19.0,,,,,0.0,-0.40620241
14.0,,,,,1.0,-0.61083579
21.0,,,,,0.0,-0.81567407
18.0,,,,,0.0,-1.0207174
43.0,,,,,1.0,-1.2259659
13.0,,,,,1.0,-1.4314198
24.0,,,,,0.0,-1.6370795
63.0,,,,,0.0,1.6231818
10.0,,,,,0.0,1.4077671
16.0,,,,,0.0,1.1921368
58.0,,,,,1.0,0.97629064
61.0,,,,,1.0,0.7602284
13.0,,,,,0.0,0.5439499
14.0,,,,,1.0,0.32745492
15.0,,,,,0.0,0.11074322
10.0,,,,,0.0,-0.10618542
10.0,,,,,0.0,-0.32333121
18.0,,,,,0.0,-0.54069436
33.0,,,,,0.0,-0.75827509
102.0,,,,,1.0,-0.97607356
23.0,,,,,0.0,-1.1940901
17.0,,,,,1.0,-1.4123249
41.0,,,,,0.0,-1.6307781
19.0,,,,,0.0,1.6166743
16.0,,,,,0.0,1.3867213
25.0,,,,,1.0,1.156538
57.0,,,,,0.0,0.92612445
56.0,,,,,1.0,0.69548023
28.0,,,,,0.0,0.46460509
23.0,,,,,0.0,0.23349889
52.0,,,,,1.0,0.0021613177
16.0,,,,,0.0,-0.22940782
12.0,,,,,0.0,-0.46120873
98.0,,,,,0.0,-0.69324172
14.0,,,,,1.0,-0.92550695
21.0,,,,,1.0,-1.1580046
18.0,,,,,0.0,-1.3907351
13.0,,,,,0.0,-1.6236986
19.0,,,,,1.0,1.6600027
54.0,,,,,1.0,1.5282636
26.0,,,,,0.0,1.3963926
26.0,,,,,1.0,1.2643895
37.0,,,,,1.0,1.1322544
72.0,,,,,0.0,0.99998695
58.0,,,,,0.0,0.86758709
15.0,,,,,0.0,0.73505473
69.0,,,,,0.0,0.60238975
33.0,,,,,1.0,0.46959192
16.0,,,,,0.0,0.33666116
46.0,,,,,0.0,0.20359734
56.0,,,,,1.0,0.07040032
70.0,,,,,0.0,-0.062930025
76.0,,,,,0.0,-0.19639383
33.0,,,,,0.0,-0.32999122
50.0,,,,,1.0,-0.46372238
45.0,,,,,1.0,-0.59758735
16.0,,,,,0.0,-0.7315864
41.0,,,,,1.0,-0.8657195
37.0,,,,,1.0,-0.99998689
144.0,,,,,1.0,-1.1343887
34.0,,,,,0.0,-1.2689251
32.0,,,,,0.0,-1.403596
42.0,,,,,0.0,-1.5384018
14.0,,,,,0.0,-1.6733426
35.0,,,,,0.0,1.6166743
66.0,,,,,0.0,1.3867213
70.0,,,,,0.0,1.156538
123.0,,,,,1.0,0.92612445
77.0,,,,,1.0,0.69548023
35.0,,,,,0.0,0.46460509
61.0,,,,,0.0,0.23349889
72.0,,,,,0.0,0.0021613177
73.0,,,,,1.0,-0.22940782
64.0,,,,,0.0,-0.46120873
49.0,,,,,1.0,-0.69324172
128.0,,,,,0.0,-0.92550695
138.0,,,,,0.0,-1.1580046
57.0,,,,,0.0,-1.3907351
46.0,,,,,1.0,-1.6236986
169.0,,,,,0.0,1.5787663
122.0,,,,,0.0,1.2639602
87.0,,,,,0.0,0.94883919
82.0,,,,,0.0,0.63340259
66.0,,,,,0.0,0.31765032
200.0,,,,,0.0,0.001581926
70.0,,,,,0.0,-0.31480283
85.0,,,,,0.0,-0.6315043
48.0,,,,,1.0,-0.94852281
123.0,,,,,0.0,-1.2658587
49.0,,,,,0.0,-1.5835121
72.0,,,,,,
58.0,,,,,,
164.0,,,,,,
114.0,,,,,,
58.0,,,,,,
142.0,,,,,,
52.0,,,,,,
157.0,,,,,,
38.0,,,,,,
109.0,,,,,,
117.0,,,,,,
83.0,,,,,,
93.0,,,,,,
61.0,,,,,,
87.0,,,,,,
38.0,,,,,,
53.0,,,,,,
200.0,,,,,,
71.0,,,,,,
52.0,,,,,,
124.0,,,,,,
64.0,,,,,,
105.0,,,,,,
130.0,,,,,,
26.0,,,,,,
120.0,,,,,,
88.0,,,,,,
50.0,,,,,,
175.0,,,,,,
89.0,,,,,,
113.0,,,,,,
117.0,,,,,,
119.0,,,,,,
107.0,,,,,,
93.0,,,,,,
131.0,,,,,,
62.0,,,,,,
104.0,,,,,,
11.0,,,,,,
122.0,,,,,,
151.0,,,,,,
79.0,,,,,,
141.0,,,,,,
21.0,,,,,,
79.0,,,,,,
155.0,,,,,,
192.0,,,,,,
89.0,,,,,,
108.0,,,,,,
162.0,,,,,,
45.0,,,,,,
87.0,,,,,,
118.0,,,,,,
105.0,,,,,,
182.0,,,,,,
141.0,,,,,,
189.0,,,,,,
87.0,,,,,,
87.0,,,,,,
128.0,,,,,,
95.0,,,,,,
127.0,,,,,,
130.0,,,,,,
116.0,,,,,,
99.0,,,,,,
110.0,,,,,,
174.0,,,,,,
24.0,,,,,,
197.0,,,,,,
83.0,,,,,,
114.0,,,,,,
159.0,,,,,,
154.0,,,,,,
197.0,,,,,,
96.0,,,,,,
107.0,,,,,,
121.0,,,,,,
161.0,,,,,,
105.0,,,,,,
182.0,,,,,,
114.0,,,,,,
129.0,,,,,,
154.0,,,,,,
169.0,,,,,,
200.0,,,,,,
138.0,,,,,,
158.0,,,,,,
193.0,,,,,,
96.0,,,,,,
121.0,,,,,,
159.0,,,,,,
57.0,,,,,,
