rewards,mi-tet,expr,grad_norm,entropy,first_batch_actions,first_batch_returns
15.0,0.14825392378806335,0.1100833958293298,0.14362399280071259,0.6837568879127502,0,1.6166743
25.0,0.15037894592953638,0.0559256146014115,0.04131561145186424,0.6855279207229614,1,1.3867213
12.0,0.13059687245147433,0.03686534864764542,0.042284317314624786,0.6868851780891418,1,1.156538
25.0,0.17818998834155053,0.06350222340241997,0.0745193138718605,0.6885700225830078,0,0.92612445
10.0,0.21862625350014753,0.10568426136008313,0.09907159954309464,0.6884506940841675,0,0.69548023
14.0,0.0976290701449658,0.06296758330514746,0.03517721965909004,0.689598560333252,0,0.46460509
17.0,0.09441594095770256,0.05164189042656126,0.02340664714574814,0.6907991170883179,0,0.23349889
41.0,0.14365437761569133,0.04177789863766356,0.05479591712355614,0.6910361647605896,1,0.0021613177
9.0,0.1911550123818353,0.03216122206576833,0.00940024945884943,0.6917982697486877,0,-0.22940782
11.0,0.12490845290042163,0.031921800277071005,0.02031068131327629,0.691882312297821,1,-0.46120873
20.0,0.14186391809362586,0.06928953521648873,0.025162730365991592,0.6923121809959412,0,-0.69324172
12.0,0.12133299919687346,0.03382335770615285,0.0074690040200948715,0.6926695108413696,1,-0.92550695
14.0,,,,,0,-1.1580046
12.0,,,,,1,-1.3907351
23.0,,,,,1,-1.6236986
14.0,,,,,1,1.6577238
16.0,,,,,1,1.520638
11.0,,,,,0,1.383415
16.0,,,,,0,1.2460546
16.0,,,,,1,1.1085567
21.0,,,,,0,0.97092128
10.0,,,,,0,0.83314794
18.0,,,,,1,0.6952368
39.0,,,,,0,0.55718756
41.0,,,,,0,0.41900012
11.0,,,,,1,0.28067434
40.0,,,,,0,0.14221013
19.0,,,,,1,0.0036073085
16.0,,,,,1,-0.13513425
32.0,,,,,1,-0.27401471
21.0,,,,,0,-0.41303417
15.0,,,,,0,-0.55219281
57.0,,,,,1,-0.69149071
18.0,,,,,1,-0.83092809
26.0,,,,,1,-0.970505
25.0,,,,,1,-1.1102216
11.0,,,,,1,-1.2500782
14.0,,,,,1,-1.3900746
20.0,,,,,1,-1.5302113
15.0,,,,,1,-1.6704882
11.0,,,,,0,1.5905988
19.0,,,,,0,1.3023629
9.0,,,,,1,1.0138385
17.0,,,,,0,0.72502536
14.0,,,,,0,0.43592304
15.0,,,,,0,0.14653134
23.0,,,,,0,-0.14315003
11.0,,,,,1,-0.43312138
12.0,,,,,1,-0.72338301
11.0,,,,,0,-1.0139351
16.0,,,,,0,-1.3047781
19.0,,,,,1,-1.5959123
22.0,,,,,0,1.6577238
41.0,,,,,1,1.520638
24.0,,,,,0,1.383415
17.0,,,,,1,1.2460546
22.0,,,,,1,1.1085567
33.0,,,,,0,0.97092128
69.0,,,,,0,0.83314794
11.0,,,,,1,0.6952368
24.0,,,,,1,0.55718756
19.0,,,,,1,0.41900012
9.0,,,,,0,0.28067434
11.0,,,,,0,0.14221013
26.0,,,,,0,0.0036073085
46.0,,,,,1,-0.13513425
20.0,,,,,0,-0.27401471
47.0,,,,,1,-0.41303417
14.0,,,,,0,-0.55219281
17.0,,,,,1,-0.69149071
23.0,,,,,1,-0.83092809
10.0,,,,,1,-0.970505
10.0,,,,,1,-1.1102216
17.0,,,,,0,-1.2500782
43.0,,,,,0,-1.3900746
30.0,,,,,1,-1.5302113
16.0,,,,,0,-1.6704882
49.0,,,,,0,1.5646092
13.0,,,,,1,1.2178454
19.0,,,,,1,0.87073469
24.0,,,,,1,0.52327645
20.0,,,,,1,0.17547041
29.0,,,,,1,-0.17268378
13.0,,,,,1,-0.52118647
12.0,,,,,1,-0.87003803
30.0,,,,,1,-1.2192388
20.0,,,,,0,-1.5687891
14.0,,,,,0,1.609226
37.0,,,,,0,1.3626428
28.0,,,,,0,1.1158128
28.0,,,,,1,0.86873573
19.0,,,,,1,0.62141126
16.0,,,,,1,0.37383929
12.0,,,,,0,0.12601948
32.0,,,,,0,-0.1220484
19.0,,,,,0,-0.37036461
25.0,,,,,0,-0.61892933
40.0,,,,,0,-0.86774296
16.0,,,,,0,-1.1168056
23.0,,,,,1,-1.3661175
22.0,,,,,1,-1.615679
21.0,,,,,1,1.6289105
27.0,,,,,0,1.4263142
11.0,,,,,1,1.2235152
29.0,,,,,0,1.0205132
20.0,,,,,0,0.81730789
18.0,,,,,0,0.61389917
10.0,,,,,0,0.4102869
20.0,,,,,1,0.20647082
22.0,,,,,0,0.0024507006
45.0,,,,,1,-0.20177364
18.0,,,,,0,-0.40620241
12.0,,,,,1,-0.61083579
13.0,,,,,1,-0.81567407
51.0,,,,,0,-1.0207174
10.0,,,,,0,-1.2259659
15.0,,,,,0,-1.4314198
18.0,,,,,0,-1.6370795
18.0,,,,,0,1.6793343
26.0,,,,,0,1.5964564
,,,,,1,1.5134956
,,,,,1,1.4304516
,,,,,0,1.3473246
,,,,,1,1.2641144
,,,,,0,1.1808209
,,,,,0,1.0974439
,,,,,1,1.0139836
,,,,,1,0.93043971
,,,,,0,0.84681219
,,,,,0,0.76310092
,,,,,0,0.67930591
,,,,,1,0.59542698
,,,,,1,0.51146406
,,,,,1,0.42741716
,,,,,1,0.34328607
,,,,,0,0.25907081
,,,,,1,0.17477122
,,,,,1,0.090387262
,,,,,1,0.0059188325
,,,,,0,-0.07863415
,,,,,0,-0.16327177
,,,,,1,-0.24799411
,,,,,1,-0.33280125
,,,,,0,-0.41769332
,,,,,1,-0.50267035
,,,,,1,-0.58773243
,,,,,0,-0.67287964
,,,,,1,-0.75811207
,,,,,1,-0.84342986
,,,,,0,-0.92883307
,,,,,0,-1.0143217
,,,,,1,-1.099896
,,,,,1,-1.1855559
,,,,,1,-1.2713015
,,,,,1,-1.357133
,,,,,1,-1.4430504
,,,,,1,-1.5290538
,,,,,1,-1.6151433
,,,,,1,-1.701319
,,,,,1,1.5473851
,,,,,1,1.1614417
,,,,,1,0.77511179
,,,,,1,0.38839528
,,,,,1,0.0012916382
,,,,,1,-0.3861995
,,,,,1,-0.77407849
,,,,,1,-1.1623458
,,,,,1,-1.5510017
,,,,,0,1.5787663
,,,,,0,1.2639602
,,,,,0,0.94883919
,,,,,1,0.63340259
,,,,,0,0.31765032
,,,,,0,0.001581926
,,,,,0,-0.31480283
,,,,,1,-0.6315043
,,,,,0,-0.94852281
,,,,,1,-1.2658587
,,,,,1,-1.5835121
