rewards,mi-tet,expr,grad_norm,entropy,first_batch_actions,first_batch_returns
12.0,0.018063887386092325,0.055644413233221744,0.15118473768234253,0.678882360458374,0.0,1.5905988
20.0,0.01082603041719965,0.01863452635853817,0.17903491854667664,0.664434552192688,1.0,1.3023629
16.0,0.007012291210749311,0.02293611320555013,0.16349470615386963,0.6708568930625916,0.0,1.0138385
17.0,0.011791612692946263,0.011768684396914161,0.325010746717453,0.6429490447044373,0.0,0.72502536
15.0,0.0162988108525699,0.006396152003942463,0.182267963886261,0.6385210752487183,0.0,0.43592304
35.0,0.0034931479031228285,0.014681510298349684,0.11405647546052933,0.6370980143547058,0.0,0.14653134
14.0,0.0017785557764042892,0.006623889956093615,0.12432309240102768,0.6308619976043701,0.0,-0.14315003
55.0,0.0042860954444639,0.0016869267406210491,0.17304442822933197,0.613584578037262,1.0,-0.43312138
53.0,0.0037059695769388057,0.006687733059438709,0.12109483033418655,0.6169924736022949,0.0,-0.723383
20.0,0.003536037726391328,0.0010830673599179037,0.1210733950138092,0.601380467414856,0.0,-1.0139351
35.0,0.00443885468677685,0.0013136895592872051,0.20911340415477753,0.5917410850524902,0.0,-1.3047781
22.0,0.00430098674969992,0.0023473533504204383,0.26204848289489746,0.583162248134613,0.0,-1.5959123
22.0,0.006350131429200712,0.0019681447533338057,0.1316428929567337,0.5734876990318298,1.0,1.6425669
24.0,0.006136697818486692,0.0013163429633964395,0.1720208078622818,0.579380452632904,1.0,1.4707018
26.0,0.004506868016187493,0.0011263649241652776,0.160481259226799,0.5576006174087524,0.0,1.2986646
27.0,0.001089509698790625,0.006466972316574354,0.08950913697481155,0.5632758736610413,1.0,1.1264552
54.0,0.01087772657201258,0.0009490043278266225,0.1587524712085724,0.5536402463912964,0.0,0.9540734
47.0,0.010993592490566861,0.000269555033345197,0.1471993774175644,0.5503847002983093,1.0,0.78151906
16.0,0.0035651421052129706,0.0006265034982408723,0.16984544694423676,0.5524619817733765,1.0,0.608792
113.0,0.0028790841144528123,0.0007272845694089216,0.0894545316696167,0.5697154402732849,0.0,0.43589205
37.0,0.00568970713332817,0.0005232010230785106,0.21625229716300964,0.5623847842216492,1.0,0.262819
110.0,0.004432712080546519,0.0009953917067862996,0.13007037341594696,0.5525960922241211,0.0,0.08957272
21.0,0.002851595923317074,0.0005658594905118822,0.14238876104354858,0.5579023361206055,1.0,-0.08384698
20.0,0.0008725840144903074,0.0007293913377256922,0.28519386053085327,0.5545877814292908,1.0,-0.25744027
18.0,0.000572973328210935,0.0003600755977706225,0.09062962234020233,0.548529326915741,0.0,-0.43120733
15.0,0.0022624038528484824,0.00024328007742128657,0.12635716795921326,0.5435234308242798,0.0,-0.6051483
44.0,0.0019713652221318156,0.0002896409024455987,0.1059892550110817,0.5430837869644165,0.0,-0.77926344
19.0,0.001224671957182455,0.00035585813597181277,0.09558190405368805,0.549429178237915,0.0,-0.95355284
15.0,0.0013433639118933804,0.00013502906296674447,0.06315327435731888,0.5400330424308777,1.0,-1.1280167
38.0,0.0009599512175291203,0.00020296268250489895,0.11811336129903793,0.5507611632347107,1.0,-1.3026552
38.0,0.000767928843289134,0.00019869954857748307,0.1221759170293808,0.5423547625541687,1.0,-1.4774686
37.0,0.00046322177690605315,2.446392560013839e-05,0.18308256566524506,0.5356286764144897,1.0,-1.6524569
18.0,0.0007116925518024786,0.000518035467637705,0.07442852854728699,0.5374805331230164,1.0,1.6231818
72.0,0.0006482873496889141,6.514868682285902e-05,0.2439502477645874,0.5385695695877075,0.0,1.407767
55.0,0.0017137851049091601,0.00014666311247478272,0.1357964128255844,0.5358380079269409,0.0,1.1921368
47.0,0.005941345714901569,8.702405544720016e-05,0.42888393998146057,0.5308569073677063,0.0,0.97629064
14.0,,,,,1.0,0.7602284
34.0,,,,,0.0,0.5439499
41.0,,,,,0.0,0.32745492
20.0,,,,,1.0,0.11074322
69.0,,,,,0.0,-0.10618542
23.0,,,,,0.0,-0.3233312
16.0,,,,,0.0,-0.54069436
108.0,,,,,0.0,-0.7582751
22.0,,,,,0.0,-0.97607356
50.0,,,,,0.0,-1.1940901
95.0,,,,,1.0,-1.4123249
53.0,,,,,0.0,-1.6307781
91.0,,,,,0.0,1.6289105
27.0,,,,,1.0,1.4263142
29.0,,,,,1.0,1.2235152
19.0,,,,,1.0,1.0205132
49.0,,,,,0.0,0.8173079
75.0,,,,,0.0,0.6138992
11.0,,,,,0.0,0.4102869
43.0,,,,,0.0,0.20647082
103.0,,,,,1.0,0.0024507
60.0,,,,,0.0,-0.20177364
145.0,,,,,0.0,-0.4062024
171.0,,,,,0.0,-0.6108358
196.0,,,,,0.0,-0.81567407
73.0,,,,,0.0,-1.0207174
104.0,,,,,1.0,-1.2259659
70.0,,,,,1.0,-1.4314198
93.0,,,,,1.0,-1.6370795
81.0,,,,,1.0,1.6166743
92.0,,,,,1.0,1.3867213
14.0,,,,,0.0,1.156538
72.0,,,,,1.0,0.92612445
177.0,,,,,1.0,0.6954802
134.0,,,,,0.0,0.4646051
79.0,,,,,0.0,0.23349889
80.0,,,,,1.0,0.00216132
200.0,,,,,0.0,-0.22940782
124.0,,,,,1.0,-0.46120873
38.0,,,,,1.0,-0.6932417
120.0,,,,,1.0,-0.92550695
73.0,,,,,1.0,-1.1580046
59.0,,,,,1.0,-1.3907351
133.0,,,,,1.0,-1.6236986
85.0,,,,,1.0,1.674001
149.0,,,,,1.0,1.5766113
119.0,,,,,0.0,1.4791242
117.0,,,,,1.0,1.3815395
26.0,,,,,0.0,1.283857
66.0,,,,,1.0,1.1860769
200.0,,,,,0.0,1.0881988
59.0,,,,,0.0,0.99022275
37.0,,,,,1.0,0.8921487
16.0,,,,,0.0,0.79397637
42.0,,,,,0.0,0.69570583
78.0,,,,,0.0,0.59733695
34.0,,,,,1.0,0.49886954
92.0,,,,,0.0,0.4003036
181.0,,,,,0.0,0.30163896
93.0,,,,,1.0,0.2028756
110.0,,,,,1.0,0.10401335
107.0,,,,,0.0,0.00505215
129.0,,,,,0.0,-0.09400811
83.0,,,,,1.0,-0.19316754
106.0,,,,,0.0,-0.29242623
121.0,,,,,1.0,-0.39178425
58.0,,,,,0.0,-0.49124175
21.0,,,,,0.0,-0.5907988
81.0,,,,,0.0,-0.6904555
119.0,,,,,1.0,-0.790212
106.0,,,,,0.0,-0.8900683
98.0,,,,,0.0,-0.99002457
112.0,,,,,0.0,-1.090081
77.0,,,,,0.0,-1.1902374
140.0,,,,,1.0,-1.2904942
28.0,,,,,0.0,-1.3908513
88.0,,,,,1.0,-1.4913088
159.0,,,,,0.0,-1.591867
166.0,,,,,0.0,-1.6925257
145.0,,,,,1.0,1.609226
92.0,,,,,1.0,1.3626428
63.0,,,,,0.0,1.1158128
100.0,,,,,0.0,0.86873573
122.0,,,,,0.0,0.62141126
107.0,,,,,0.0,0.3738393
97.0,,,,,0.0,0.12601948
92.0,,,,,0.0,-0.1220484
87.0,,,,,1.0,-0.3703646
101.0,,,,,0.0,-0.6189293
