rewards,mi-tet,expr,grad_norm,entropy,first_batch_actions,first_batch_returns
29.0,0.02017920649401006,0.021971925705067303,0.09259907901287079,0.6858540177345276,0.0,1.6657944
11.0,0.03176624978279596,0.023775821494905258,0.15394428372383118,0.6777952909469604,1.0,1.5478783
19.0,0.012975339314594159,0.011485042549995838,0.14930471777915955,0.6744956970214844,0.0,1.4298441
20.0,0.006508644606302738,0.018609258978340745,0.26818597316741943,0.6687704920768738,0.0,1.3116919
30.0,0.012882263745895628,0.023755476756215983,0.12458788603544235,0.6659413576126099,0.0,1.1934214
38.0,0.012053447019355179,0.02775069707921504,0.16446486115455627,0.6612621545791626,1.0,1.0750325
15.0,0.004761216958140135,0.004165143018853363,0.1632789820432663,0.6516494750976562,1.0,0.95652509
14.0,0.004925763050498411,0.003011115515648141,0.05396220088005066,0.6540711522102356,1.0,0.83789909
22.0,0.00900554348926974,0.00136715631151218,0.17124058306217194,0.6380835771560669,0.0,0.7191543
17.0,0.005580920882161333,0.0025130635632832935,0.21972636878490448,0.6207327842712402,1.0,0.60029066
31.0,0.006000757929469636,0.0014621760057096395,0.10945838689804077,0.6230478286743164,0.0,0.48130804
27.0,0.0037872634016302698,0.0016085179509847832,0.10907392203807831,0.6219621896743774,0.0,0.36220631
10.0,0.0010436881028379474,0.0016858549162368916,0.08591940253973007,0.6132753491401672,1.0,0.24298535
24.0,0.006911220383670091,0.0008787732614404903,0.09584041684865952,0.6006292104721069,0.0,0.12364507
20.0,0.0008760186296834505,0.0003464078735979526,0.05482199415564537,0.5922064185142517,0.0,0.0041853199
17.0,0.0018867081215216963,0.0003762951111926154,0.14186149835586548,0.5833977460861206,1.0,-0.11539401
26.0,0.002117807481726075,0.000677910405027066,0.1280021071434021,0.5925962328910828,0.0,-0.23509303
25.0,0.0015708799109446225,0.00042459713466708844,0.09765840321779251,0.5804789066314697,0.0,-0.35491189
41.0,0.0023779115293716124,0.00024942406922931807,0.09764698147773743,0.5902133584022522,1.0,-0.47485065
17.0,0.00250579400526707,0.0002454939532016678,0.12218520045280457,0.589983344078064,1.0,-0.59490949
32.0,0.0007994881506347973,0.0003336703453823508,0.08970536291599274,0.5887768864631653,1.0,-0.71508855
29.0,0.0011725147353165433,0.00032846236155175486,0.05308224633336067,0.5842720866203308,1.0,-0.83538783
57.0,0.001312584138152495,0.0003117704577050248,0.052735310047864914,0.5689147710800171,0.0,-0.95580757
27.0,0.0006290617925461817,0.0003280962962379521,0.1897297352552414,0.5715360045433044,1.0,-1.0763478
19.0,0.0016222264333269898,0.00026459642213583255,0.19673852622509003,0.573972761631012,1.0,-1.1970088
37.0,0.00039699989252017787,0.00015197760105015629,0.055258724838495255,0.5708561539649963,0.0,-1.3177905
13.0,0.000777503325111617,0.0002475629628768346,0.10275079309940338,0.5576861500740051,0.0,-1.4386932
21.0,0.0005731362779335392,5.562715452077363e-05,0.04670495167374611,0.5609286427497864,1.0,-1.5597168
18.0,0.0005933871228300802,0.0001251640720917395,0.11381290853023529,0.5481463074684143,0.0,-1.6808616
21.0,0.0005792890649134463,6.200714778102425e-05,0.12462630122900009,0.5580288171768188,0.0,1.5787663
12.0,,,,,0.0,1.2639602
15.0,,,,,0.0,0.94883919
59.0,,,,,0.0,0.63340259
17.0,,,,,0.0,0.31765032
41.0,,,,,0.0,0.001581926
14.0,,,,,1.0,-0.31480283
27.0,,,,,1.0,-0.6315043
20.0,,,,,0.0,-0.94852281
17.0,,,,,0.0,-1.2658587
13.0,,,,,0.0,-1.5835121
128.0,,,,,0.0,1.6385123
15.0,,,,,0.0,1.4574863
11.0,,,,,0.0,1.2762792
46.0,,,,,1.0,1.0948906
14.0,,,,,0.0,0.91332048
71.0,,,,,1.0,0.73156863
24.0,,,,,1.0,0.54963481
17.0,,,,,1.0,0.36751887
26.0,,,,,1.0,0.18522066
72.0,,,,,0.0,0.0027399627
14.0,,,,,0.0,-0.1799234
12.0,,,,,0.0,-0.3627696
22.0,,,,,1.0,-0.54579884
106.0,,,,,1.0,-0.7290113
58.0,,,,,0.0,-0.91240716
17.0,,,,,1.0,-1.0959866
10.0,,,,,0.0,-1.2797498
34.0,,,,,1.0,-1.463697
24.0,,,,,1.0,-1.6478282
41.0,,,,,1.0,1.6425669
40.0,,,,,0.0,1.4707018
61.0,,,,,0.0,1.2986646
14.0,,,,,0.0,1.1264552
59.0,,,,,1.0,0.95407343
32.0,,,,,1.0,0.78151906
78.0,,,,,0.0,0.60879201
81.0,,,,,1.0,0.43589205
98.0,,,,,0.0,0.26281899
28.0,,,,,1.0,0.08957272
18.0,,,,,0.0,-0.083846979
19.0,,,,,0.0,-0.25744027
192.0,,,,,0.0,-0.43120733
62.0,,,,,0.0,-0.60514832
136.0,,,,,0.0,-0.77926344
80.0,,,,,1.0,-0.95355284
80.0,,,,,1.0,-1.1280167
140.0,,,,,1.0,-1.3026552
118.0,,,,,0.0,-1.4774686
67.0,,,,,1.0,-1.6524569
32.0,,,,,0.0,1.6674336
43.0,,,,,1.0,1.5535098
48.0,,,,,1.0,1.439472
39.0,,,,,0.0,1.3253199
90.0,,,,,1.0,1.2110536
79.0,,,,,0.0,1.0966729
46.0,,,,,1.0,0.98217779
75.0,,,,,0.0,0.86756796
51.0,,,,,1.0,0.7528435
42.0,,,,,0.0,0.63800412
91.0,,,,,1.0,0.52304983
81.0,,,,,0.0,0.40798044
80.0,,,,,0.0,0.2927959
28.0,,,,,1.0,0.17749603
185.0,,,,,1.0,0.06208076
25.0,,,,,0.0,-0.053450044
34.0,,,,,0.0,-0.1690965
80.0,,,,,0.0,-0.2848587
