rewards,mi-tet,expr,grad_norm,entropy,first_batch_actions,first_batch_returns
19.0,0.014258175792746908,0.06743541797865406,0.04862143471837044,0.6805708408355713,0,1.6385123
10.0,0.007992874049691956,0.027920304817000263,0.0569639652967453,0.6828464865684509,1,1.4574863
40.0,0.06389998189857993,0.05707384545540001,0.06778442114591599,0.681514322757721,1,1.2762792
15.0,0.03716418402347399,0.04318190236374806,0.07428533583879471,0.6786596179008484,0,1.0948906
10.0,0.02234923621651763,0.07456851834289249,0.05938747152686119,0.6766846776008606,1,0.9133205
14.0,0.02045821068917597,0.019551107487928834,0.022625192999839783,0.6734247207641602,1,0.73156863
14.0,0.01147011412583776,0.018679642008861345,0.0502442792057991,0.6642583608627319,0,0.5496348
65.0,0.017912812106761766,0.01863979933972508,0.09495965391397476,0.6623511910438538,1,0.36751887
18.0,0.0139074054478594,0.050199414483583664,0.06781197339296341,0.6524982452392578,1,0.18522066
29.0,0.0321296924152783,0.026532925428708255,0.07894907891750336,0.6592448949813843,0,0.00273996
23.0,0.016257655591881637,0.02067099837525063,0.041225068271160126,0.6699759364128113,1,-0.1799234
26.0,0.02221856666879196,0.03593212640134047,0.1461210995912552,0.6626504063606262,0,-0.3627696
37.0,0.015893582155968033,0.012470282809574322,0.11367878317832947,0.6687951683998108,1,-0.54579884
11.0,0.0267079207691725,0.012796358727563534,0.09784596413373947,0.6777656674385071,1,-0.7290113
12.0,0.02098538845245823,0.032182785127611586,0.035736434161663055,0.6780134439468384,1,-0.91240716
10.0,0.00944871486735499,0.05783782921656642,0.11817646026611328,0.6777098774909973,1,-1.0959866
13.0,0.014006363274563949,0.04375136293362422,0.13666152954101562,0.6722474098205566,0,-1.2797498
11.0,0.011530756149976895,0.02226913251313665,0.08217468112707138,0.668536365032196,1,-1.463697
12.0,,,,,1,-1.6478282
18.0,,,,,0,1.5646092
14.0,,,,,0,1.2178454
15.0,,,,,0,0.8707347
10.0,,,,,0,0.52327645
10.0,,,,,0,0.17547041
14.0,,,,,1,-0.17268378
14.0,,,,,0,-0.5211865
11.0,,,,,1,-0.87003803
16.0,,,,,0,-1.2192388
23.0,,,,,1,-1.5687891
13.0,,,,,1,1.6785907
11.0,,,,,1,1.5935968
18.0,,,,,0,1.5085179
16.0,,,,,0,1.4233538
10.0,,,,,1,1.3381045
19.0,,,,,0,1.2527698
20.0,,,,,1,1.1673497
16.0,,,,,0,1.0818441
17.0,,,,,0,0.99625283
31.0,,,,,1,0.910576
11.0,,,,,0,0.82481337
28.0,,,,,0,0.73896486
